id,day,"passage",sort
1,1,"Genesis 1:1-2:25",1
2,1,"Matthew 1:1-2:12",2
3,1,"Psalm 1:1-6",3
4,1,"Proverbs 1:1-6",4
5,2,"Genesis 3:1-4:26",1
6,2,"Matthew 2:13-3:6",2
7,2,"Psalm 2:1-12",3
8,2,"Proverbs 1:7-9",4
9,3,"Genesis 5:1-7:24",1
10,3,"Matthew 3:7-4:11",2
11,3,"Psalm 3:1-8",3
12,3,"Proverbs 1:10-19",4
13,4,"Genesis 8:1-10:32",1
14,4,"Matthew 4:12-25",2
15,4,"Psalm 4:1-8",3
16,4,"Proverbs 1:20-23",4
17,5,"Genesis 11:1-13:4",1
18,5,"Matthew 5:1-26",2
19,5,"Psalm 5:1-12",3
20,5,"Proverbs 1:24-28",4
21,6,"Genesis 13:5-15:21",1
22,6,"Matthew 5:27-48",2
23,6,"Psalm 6:1-10",3
24,6,"Proverbs 1:29-33",4
25,7,"Genesis 16:1-18:15",1
26,7,"Matthew 6:1-24",2
27,7,"Psalm 7:1-17",3
28,7,"Proverbs 2:1-5",4
29,8,"Genesis 18:16-19:38",1
30,8,"Matthew 6:25-7:14",2
31,8,"Psalm 8:1-9",3
32,8,"Proverbs 2:6-15",4
33,9,"Genesis 20:1-22:24",1
34,9,"Matthew 7:15-29",2
35,9,"Psalm 9:1-12",3
36,9,"Proverbs 2:16-22",4
37,10,"Genesis 23:1-24:51",1
38,10,"Matthew 8:1-17",2
39,10,"Psalm 9:13-20",3
40,10,"Proverbs 3:1-6",4
41,11,"Genesis 24:52-26:16",1
42,11,"Matthew 8:18-34",2
43,11,"Psalm 10:1-15",3
44,11,"Proverbs 3:7-8",4
45,12,"Genesis 26:17-27:46",1
46,12,"Matthew 9:1-17",2
47,12,"Psalm 10:16-18",3
48,12,"Proverbs 3:9-10",4
49,13,"Genesis 28:1-29:35",1
50,13,"Matthew 9:18-38",2
51,13,"Psalm 11:1-7",3
52,13,"Proverbs 3:11-12",4
53,14,"Genesis 30:1-31:16",1
54,14,"Matthew 10:1-23",2
55,14,"Psalm 12:1-8",3
56,14,"Proverbs 3:13-15",4
57,15,"Genesis 31:17-32:12",1
58,15,"Matthew 10:24-11:6",2
59,15,"Psalm 13:1-6",3
60,15,"Proverbs 3:16-18",4
61,16,"Genesis 32:13-34:31",1
62,16,"Matthew 11:7-30",2
63,16,"Psalm 14:1-7",3
64,16,"Proverbs 3:19-20",4
65,17,"Genesis 35:1-36:43",1
66,17,"Matthew 12:1-21",2
67,17,"Psalm 15:1-5",3
68,17,"Proverbs 3:21-26",4
69,18,"Genesis 37:1-38:30",1
70,18,"Matthew 12:22-45",2
71,18,"Psalm 16:1-11",3
72,18,"Proverbs 3:27-32",4
73,19,"Genesis 39:1-41:16",1
74,19,"Matthew 12:46-13:23",2
75,19,"Psalm 17:1-15",3
76,19,"Proverbs 3:33-35",4
77,20,"Genesis 41:17-42:17",1
78,20,"Matthew 13:24-46",2
79,20,"Psalm 18:1-15",3
80,20,"Proverbs 4:1-6",4
81,21,"Genesis 42:18-43:34",1
82,21,"Matthew 13:47-14:12",2
83,21,"Psalm 18:16-36",3
84,21,"Proverbs 4:7-10",4
85,22,"Genesis 44:1-45:28",1
86,22,"Matthew 14:13-36",2
87,22,"Psalm 18:37-50",3
88,22,"Proverbs 4:11-13",4
89,23,"Genesis 46:1-47:31",1
90,23,"Matthew 15:1-28",2
91,23,"Psalm 19:1-14",3
92,23,"Proverbs 4:14-19",4
93,24,"Genesis 48:1-49:33",1
94,24,"Matthew 15:29-16:12",2
95,24,"Psalm 20:1-9",3
96,24,"Proverbs 4:20-27",4
97,25,"Genesis 50:1 - Exodus 2:10",1
98,25,"Matthew 16:13-17:9",2
99,25,"Psalm 21:1-13",3
100,25,"Proverbs 5:1-6",4
101,26,"Exodus 2:11-3:22",1
102,26,"Matthew 17:10-27",2
103,26,"Psalm 22:1-18",3
104,26,"Proverbs 5:7-14",4
105,27,"Exodus 4:1-5:21",1
106,27,"Matthew 18:1-20",2
107,27,"Psalm 22:19-31",3
108,27,"Proverbs 5:15-21",4
109,28,"Exodus 5:22-7:25",1
110,28,"Matthew 18:21-19:12",2
111,28,"Psalm 23:1-6",3
112,28,"Proverbs 5:22-23",4
113,29,"Exodus 8:1-9:35",1
114,29,"Matthew 19:13-30",2
115,29,"Psalm 24:1-10",3
116,29,"Proverbs 6:1-5",4
117,30,"Exodus 10:1-12:13",1
118,30,"Matthew 20:1-28",2
119,30,"Psalm 25:1-15",3
120,30,"Proverbs 6:6-11",4
121,31,"Exodus 12:14-13:16",1
122,31,"Matthew 20:29-21:22",2
123,31,"Psalm 25:16-22",3
124,31,"Proverbs 6:12-15",4
125,32,"Exodus 13:17-15:18",1
126,32,"Matthew 21:23-46",2
127,32,"Psalm 26:1-12",3
128,32,"Proverbs 6:16-19",4
129,33,"Exodus 15:19-17:7",1
130,33,"Matthew 22:1-33",2
131,33,"Psalm 27:1-6",3
132,33,"Proverbs 6:20-26",4
133,34,"Exodus 17:8-19:15",1
134,34,"Matthew 22:34-23:12",2
135,34,"Psalm 27:7-14",3
136,34,"Proverbs 6:27-35",4
137,35,"Exodus 19:16-21:21",1
138,35,"Matthew 23:13-39",2
