id,"ident","title","image","excerpt","description",is_featured,"starts_at","ends_at","publish_at","expires_at",sort,"created_at","updated_at"
2,"Parent-Dessert-Night","Parent Dessert Night",NULL,NULL,"Attention all parents of high school or middle school students: You are invited to join us January 11 at 6:30 pm for a very special evening with special guest, Dr. Johnny Derouen. Start the New Year off on a strong foundation as we discover valuable parenting principles from one of America’s foremost Youth Leaders. Childcare is by reservation only. Please RSVP for yourself and any needed childcare by calling the Student Ministry office at 251-2590 ext. 1300 or e-mail Teresa at teresa@faithpromise.org. Deadline for reservations is noon on Friday, January 9.",0,NULL,NULL,"2009-01-01 00:00:00","2009-01-12 00:00:00",6,"2015-07-07 12:02:40","2015-07-07 12:02:40"
4,"Annual-Marriage-Retreat","Annual Marriage Retreat",NULL,"February 13-14 at the Music Road Inn and Conference Center in Pigeon Forge.","February 13-14 at the Music Road Inn and Conference Center in Pigeon Forge.  Registration begins December 6 and runs through January 18. For more information contact gloria@faithpromise.org.",1,NULL,NULL,"2009-01-01 00:00:00","2009-01-20 00:00:00",4,"2015-07-07 12:02:40","2013-06-06 21:53:11"
5,"New-Service-Times-&-Grand-Opening","New Service Times & Grand Opening",NULL,"We're beginning the New Year with new services times and a Grand Opening...","We're beginning the New Year with new services times. Services will now be on Saturdays at 6:00 pm and Sundays at 9:30 & 11:15 am. Come celebrate the Grand Opening of our new Worship Center on January 26 and 27 during all services.",1,NULL,NULL,"2009-01-01 00:00:00","2012-02-04 00:00:00",1,"2015-07-07 12:02:40","2015-07-07 12:02:40"
7,"Mens-Breakfast","Mens' Breakfast",NULL,"Join Dr. Jody Goins, Oak Ridge High School Principal for breakfast on Nov 5...","Join Dr. Jody Goins, Oak Ridge High School Principal for breakfast Saturday, November 5 at 8:30-10am in the FPC Satellite to hear his unique prospective on our youth and the opportunities and responsibility we all have to influence the next generation.

<p>If you need childcare, please <a href=\"https://integration.fellowshipone.com/INTEGRATION/login.aspx?ReturnUrl=%2fintegration%2fFormBuilder%2fFormBuilder.aspx%3ffCode%3dBxdDK9np63ON37jX8q6RTw%3d%3d%26cCode%3dRtKBDolfiPuZJp8o1%2b0ARA%3d%3d&fCode=BxdDK9np63ON37jX8q6RTw==&cCode=RtKBDolfiPuZJp8o1+0ARA==\" target=\"_blank\">register here</a>.</p>",1,NULL,NULL,"2009-01-08 00:00:00","2011-11-06 00:00:00",5,"2015-07-07 12:02:40","2015-07-07 12:02:40"
8,"lifeLine-June","lifeLine: June",NULL,"Join other young adults, Sunday, June 21st at 6:30 pm in Satellite-1.","WIN A FREE CAR! Sunday, June 21, 2009 6:30 PM - 8:00 pm
<p>More than a service, less of the same. LIVE music with Hello Forever, FREE food and coffee, and a relevant teaching time featuring Drew Wells for anyone ages 18-30ish. Here’s YOUR chance, just grab a line!</p>",1,NULL,NULL,"2009-02-11 00:00:00","2009-06-22 00:00:00",5,"2015-07-07 12:02:40","2015-07-07 12:02:40"
9,"Explorers-Group","Explorers' Group",NULL,NULL,"How does anyone know God exists?  How could God allow suffering and evil?  Don’t all religions lead to God?  Why become a Christian?
Bring your toughest questions to the Explorers’ group beginning Sunday, Jan. 11 at 11:45 am
in the conference room.",0,NULL,NULL,"2009-01-08 00:00:00","2009-01-14 00:00:00",5,"2015-07-07 12:02:40","2013-06-06 21:53:11"
10,"Vol-Link","Vol Link",NULL,"Looking for a place to serve? Then Vol Link is for you!","Do you want to get involved in serving, but don't know where to start? You need to be at Volunteer Link, Sunday, January 23, at 4:00 pm. This event gives you the opportunity to talk with leaders from each ministry, and find out all the information you need to get plugged in! <a href=\"https://integration.fellowshipone.com/integration/FormBuilder/FormBuilder.aspx?fCode=API+Ch3JzfvNX6/hnaawsw==&cCode=RtKBDolfiPuZJp8o1+0ARA==\" target=\"_blank\">Register here</a>.

<p>Sign language interpretation is available upon request.</p>",1,NULL,NULL,"2009-01-15 00:00:00","2011-01-24 00:00:00",4,"2015-07-07 12:02:40","2015-07-07 12:02:40"
11,"Sanctity-of-Human-Life","Sanctity of Human Life",NULL,"This Sunday is Sanctity of Human Life Sunday - pick up a flyer at the Info Desk.","This Sunday is Sanctity of Human Life Sunday. Since 1983, Americans have observed Sanctity of Human Life Sunday as a day to celebrate the intrinsic value of all human life. This important day also provides an opportunity for pregnancy centers to share about the work they do to bring life-affirming resources to their communities and to empower women and men to choose life for their unborn children. For more information on how you can support or get involved with this worthy cause, pick up a flyer at the Information Desk.",1,NULL,NULL,"2009-01-15 00:00:00","2009-01-19 00:00:00",3,"2015-07-07 12:02:40","2013-06-06 21:53:11"
12,"The-Journey","The Journey",NULL,"Our two-year faith and building program to help us reach more people.","<p>The Journey is our two-year faith and building program with the goal of expanding our ministry influence locally to reach the
seven surrounding counties and the world for Christ. To date, FPC has given just over one million dollars! We hope you will
consider giving to The Journey to help us reach our four million dollar goal for breaking ground on Phase I.</p>

<p>More information is available <a href=\"http://www.faithpromise.org/the-journey\">here</a>.</p>",1,NULL,NULL,"2009-01-18 00:00:00","2010-12-31 00:00:00",8,"2015-07-07 12:02:40","2013-06-06 21:53:11"
13,"ProKids","ProKids",NULL,"Making sure everyone, from birth to adult, has a great experience at Faith Promise.","Our goal at Faith Promise is to make this the best hour of your child’s week and the most helpful hour of yours. To minimize distractions for adult guests and maximize your child’s experience, we ask that children under the age of five participate in their age-appropriate classrooms.
<p>For more information, check out <a href=\"http://vimeo.com/23978860\" target=\"blank_\">this video</a>.</p>",1,NULL,NULL,"2009-01-20 00:00:00","2011-12-30 00:00:00",6,"2015-07-07 12:02:40","2015-07-07 12:02:40"
14,"Young-Adult-Bonfire","Young Adult Bonfire",NULL,"Friday, March 8th from 7-10:00 pm...","Friday, March 8th from 7-10:00 pm<br/>
Bonfire and Cookout for all Blount Campus Young Adults at the Allison?s Farm. For more information, contact Mike at mpdulin@aol.com, or visit <a href=\"facebook.com/fpyoungadultsblount\" target=\"_blank\">facebook.com/fpyoungadultsblount</a>.",0,NULL,NULL,"2009-01-20 00:00:00","2013-03-09 00:00:00",2,"2015-07-07 12:02:40","2015-07-07 12:02:40"
17,"fpMOMS","fpMOMS",NULL,"Hey Moms! Are you tired? Stressed out? Then you don’t miss this...","Hey Moms! Are you tired? Stressed out? Then you don’t want to miss this month’s fpMoms meeting. It’s all about getting pampered! Join us Thursday, September 17 at 6:30 pm for a FREE night of relaxation. Childcare is provided with your RSVP to PamB@faithpromise.org or 865-251-2590 ext. 1201. Please bring a snack or dessert to share with the group.",1,NULL,NULL,"2009-01-31 12:00:00","2009-09-18 00:00:00",5,"2015-07-07 12:02:40","2015-07-07 12:02:40"
18,"Moved-Alignment","\"Moved\" Alignment",NULL,"Twice a year we study the same thing on the weekend and in all our groups...","Twice a year we study the same thing in the weekend services as we do in our weekly groups. We come together to focus on one study to get everyone on the same page.  The study for this alignment is \"Moved,\" and it begins this weekend.
",1,NULL,NULL,"2009-02-05 00:00:00","2009-02-11 00:00:00",3,"2015-07-07 12:02:40","2013-06-06 21:53:11"
19,"Career-Transition?","Career Transition?",NULL,"The Transition Team is a team of experts that have been providing career...","The Transition Team is a team of experts that have been providing outplacement and career management services for over 30 years. They will be here for lunch and an afternoon seminar on Wednesday, February 11 at 11:30 am to provide ideas on finding work, writing resumes, and dealing with the emotional side of a job transition. Please register by e-mailing jody@faithpromise.org or by contacting the groups ministry.",1,NULL,NULL,"2009-02-05 00:00:00","2009-02-12 00:00:00",4,"2015-07-07 12:02:40","2015-07-07 12:02:40"
