id,"ident","title","created_at","updated_at"
1,"care","Care Ministries","2015-07-07 08:03:36","2015-07-07 08:03:36"
2,"celebrate","Celebrate","2015-07-07 08:03:36","2015-07-07 08:03:36"
3,"family","Family Ministry","2015-07-07 08:03:36","2015-07-07 08:03:36"
4,"kids","fpKids","2015-07-07 08:03:36","2015-07-07 08:03:36"
5,"groups","Adult Groups","2015-07-07 08:03:36","2015-07-07 08:03:36"
6,"men","Men's Groups","2015-07-07 08:03:36","2015-07-07 08:03:36"
7,"missions","Missions","2015-07-07 08:03:36","2015-07-07 08:03:36"
8,"prayer","Prayer Ministry","2015-07-07 08:03:36","2015-07-07 08:03:36"
9,"students","fpStudents","2015-07-07 08:03:36","2015-07-07 08:03:36"
10,"women","Women's Groups","2015-07-07 08:03:36","2015-07-07 08:03:36"
11,"worship","Worship Ministry","2015-07-07 08:03:36","2015-07-07 08:03:36"
12,"youngadults","Young Adults","2015-07-07 08:03:36","2015-07-07 08:03:36"
