id,"ident","title","description",is_official,"starts_at","publish_at","created_at","updated_at"
1,"fuel","Fuel","Seems that everywhere you go, people are talking about FUEL. How much will it cost? How can I use it more wisely? Where will it come from? We all use it. We all need it for the journeys we go on. But what about the journey that God has called us to? What about the mission that Christ is leading us on? Join us starting July 12-13 for the next four weeks as we uncover God's true source of FUEL.",1,"2008-07-13","2008-07-13 00:00:00","2009-01-02 00:00:00","2009-01-02 00:00:00"
2,"character-illustrated","Character Illustrated","Does having character really matter? Are you the same person with others that you are when no one is around? What does it take to have the heart of a champion &mdash; courage, endurance, discipline, vision? Join us starting August 16-17 as we begin our exciting new series Character Illustrated.",1,"2008-08-17","2008-08-17 00:00:00","2009-01-02 00:00:00","2009-01-02 00:00:00"
3,"man-overboard","Man Overboard","Do you ever find yourself staring into an oncoming storm? You are gripped with fear and your natural response is to hang-on and wait out the storm, but what would happen if you stepped out into it? Starting October 4-5 we will begin our new series, Man Overboard! and discover life outside of the boat.",1,"2008-10-05","2008-10-05 00:00:00","2009-01-02 00:00:00","2009-01-02 00:00:00"
4,"the-journey","The Journey","The Journey three-week sermon series begins on November 8-9. You won't want to miss a single weekend as we prepare to launch out into the most exciting time in the life of Faith Promise! We will talk about our Future, our Purpose and our Community as we prepare to give sacrificially in order to build and reach more lost and dying souls in our seven-county area. What will God do thorough each of us?",1,"2008-11-08","2008-11-08 00:00:00","2009-01-02 00:00:00","2009-01-02 00:00:00"
5,"you-2.0","You 2.0","In this change or be changed culture, upgrades are essential for success. At the start of every New Year, we evaluate ourselves and decide to upgrade to a newer, better version. Lose weight, get a better education, buy a nicer car, get a promotion... the list goes on.  This January, discover where true change comes from and how to upgrade to You 2.0.",1,"2009-01-04","2009-01-04 00:00:00","2009-01-02 00:00:00","2009-01-02 00:00:00"
10,"moved","Moved","Now that you have upgraded to You 2.0, it's time to take the next step. Most of have felt compassion for our friends, neighbors and the world's poor, but have we ever been moved by it? For the next three weeks, our groups and weekend services will align to focus on others in our new series, Moved.",1,"2009-02-01","2009-02-01 00:00:00","2009-02-01 00:00:00","2009-02-01 00:00:00"
12,"11-and-12-2008","Nov & Dec 2008","Weekend messages between the sermon series in November & December 2008.",0,"2008-11-01","2008-11-01 00:00:00","2008-11-30 00:00:00","2008-11-30 00:00:00"
13,"2-and-3-2009","Feb & Mar 2009","Weekend messages between the sermon series in February & March 2009.",0,"2009-02-28","2009-02-28 00:00:00","2009-03-07 00:00:00","2009-03-07 00:00:00"
14,"take-the-stand","Take the Stand","If you were on trial for being a Christ follower, who would be in your jury box, and is there enough evidence to convict you?",1,"2009-03-15","2009-03-15 00:00:00","2009-03-15 00:00:00","2009-03-15 00:00:00"
15,"the-unit","The Unit","In the beginning, God created it.  It has shaped the course of history.  It's the most important thing you'll ever be a part of.",1,"2009-04-19","2009-04-19 00:00:00","2009-04-19 00:00:00","2009-04-18 00:00:00"
16,"why-not-me","Why Not Me?","The one attribute God desires most for us, the attribute that attracts God's gaze and attention, the thing God looks for most, is the thing culture and the church have left behind:  Humility.  In the next four weeks we will learn together what attracts the attention of God.",1,"2009-05-16","2009-05-16 00:00:00","2009-05-09 00:00:00","2009-05-09 00:00:00"
17,"god-is","GOD_IS","How do you view God?  It seems that we all try to make God in our own image... we choose the attributes about Him that we like and then try to put Him in our own little box.  But God is so much bigger than we realize, more loving than we'll ever know, and He is here with us now and always!  You won't want to miss a single week of this challenging four-week series as we discover the truths about who God really is.",1,"2009-06-07","2009-06-07 00:00:00","2009-06-13 00:00:00","2009-06-07 00:00:00"
18,"you-asked-for-it","You Asked For It","Has there ever been something you wanted to know but were afraid to ask? This July, we're starting a new sermon series called \"You Asked For It.\" It's your opportunity to ask tough questions about the Bible, ethics and life and get honest answers from Pastor Chris and our staff.",1,"2009-07-19","2009-07-19 00:00:00","2009-07-18 00:00:00","2009-07-18 00:00:00"
19,"intoxicated","Intoxicated","What does it mean to be under the influence? Intoxication is an altered state of mind. Your judgment and behavior are different. You lack your normal inhibitions. Often the more you get, the more you want. Join us as we begin our new series: Intoxicated.",1,"2009-08-15","2009-08-15 00:00:00","2009-08-06 00:00:00","2009-08-06 00:00:00"
20,"gro-up","Gro-Up","A practical look at how we can grow in our faith.",1,"2009-09-12","2009-09-12 00:00:00","2009-09-03 00:00:00","2009-09-03 00:00:00"
21,"the-journey-continued","The Journey Continued","The Journey is our two-year faith and building program with the goal of expanding our ministry influence locally to reach the seven surrounding counties and the world for Christ.",1,"2009-10-25","2009-10-25 00:00:00","2009-10-25 00:00:00","2009-10-25 00:00:00"
22,"home-invasion","Home Invasion","What if the unseen world &mdash; the spiritual forces at work in the world around us &mdash; could be seen?  What kinds of battles would we find in our own lives and in our own homes? Join us for a sermon series on spiritual warfare.
",1,"2009-11-01","2009-11-01 00:00:00","2009-11-01 00:00:00","2009-11-01 00:00:00"
23,"christmas-classics","Christmas Classics","For many of us, the Christmas season doesn't officially begin until we watch our favorite Christmas movie &mdash; a Christmas Classic that warms our heart and brings the joy of Christmas home to us year after year. Each weekend this December will be a classic as we take a new look at some old familiar films.",1,"2009-12-05","2009-12-05 00:00:00","2009-11-24 00:00:00","2009-11-24 00:00:00"
24,"2-and-3-2010","Dec 2009 & Jan 2010","Weekend messages between the sermon series in December 2009 & January 2010.",0,"2009-12-27","2009-12-27 00:00:00","2010-01-03 00:00:00","2010-01-03 00:00:00"
25,"whats-in-your-closet","What's In Your Closet?","Have you ever been invited some place where a certain type of dress is required? Have you ever looked in your closet and been frustrated by your choices? Did you know that God has a wardrobe designed just for you? Find out what to wear in our new series, \"What's In Your Closet?\".",1,"2010-01-04","2010-01-04 00:00:00","2010-01-10 00:00:00","2010-01-10 00:00:00"
26,"fifteen-year-anniversary","Fifteen Years","During the month of February, Faith Promise will be celebrating our 15 Year Anniversary. We will take a look back at where we've been and what God's done. Then, we'll look down the road at the year 2020 and the vision God has given us for the future. The next ten years will be a Decade of Difference.",1,"2010-02-01","2010-02-01 00:00:00","2009-01-06 00:00:00","2009-01-06 00:00:00"
28,"stocks-and-bonds","Stocks & Bonds","Stocks and bonds can be an imprisonment or an investment... you make the choice.  Join us as we search the Scriptures and learn what God has to say about this timely subject.",1,"2010-03-13","2010-03-13 00:00:00","2010-03-06 00:00:00","2010-03-06 00:00:00"
30,"easter2010","Easter","Did God really come to earth?  Did Jesus really rise from the dead?  Join us as we consider the resurrection and find hope in the risen Savior.",1,"2010-04-04","2010-04-04 00:00:00","2010-04-04 00:00:00","2010-03-23 00:00:00"
31,"help-my-family-is-crazy","Help! My Family is Crazy","They might be crazy, but for better or for worse, you are related.  Join us as we look at what it means to be a family and how to deal with those crazy relatives.",1,"2010-04-05","2010-04-05 00:00:00","2010-04-11 00:00:00","2010-03-23 00:00:00"
