"id","slug","name","excerpt","description","gender","image","length","sort","created_at","updated_at"
1,"art-of-marriage","Art of Marrage","","",NULL,"art-of-marriage-tall.png?colors=16","",255,"0000-00-00 00:00:00","0000-00-00 00:00:00"
2,"smart-step-family","Smart Step Families","","",NULL,"","",255,"0000-00-00 00:00:00","0000-00-00 00:00:00"
3,"financial-peace","Financial Peace","","",NULL,"","",255,"0000-00-00 00:00:00","0000-00-00 00:00:00"
4,"7-ways-to-be-her-hero","7 Ways to be Her Hero","",NULL,"m","","",255,"0000-00-00 00:00:00","0000-00-00 00:00:00"
5,"seamless","Seamless","",NULL,"f","","",255,"0000-00-00 00:00:00","0000-00-00 00:00:00"
6,"faithful-abundant-true","Faithful, Abundant, True Deeper Still","",NULL,"f","","",255,"0000-00-00 00:00:00","0000-00-00 00:00:00"
7,"armor-of-god","Armor of God","",NULL,"f","","",255,"0000-00-00 00:00:00","0000-00-00 00:00:00"
8,"to-live-is-christ","To Live is Christ","",NULL,"f","","",255,"0000-00-00 00:00:00","0000-00-00 00:00:00"
9,"why-i-believe","Why I Believe","",NULL,"f","","",255,"0000-00-00 00:00:00","0000-00-00 00:00:00"
10,"breath","Breath","",NULL,"f","","",255,"0000-00-00 00:00:00","0000-00-00 00:00:00"
11,"unglued","Unglued","",NULL,"f","","",255,"0000-00-00 00:00:00","0000-00-00 00:00:00"
12,"gospel-revolution","Gospel Revolution","",NULL,"f","","",255,"0000-00-00 00:00:00","0000-00-00 00:00:00"
13,"starting-point","Starting Point","",NULL,NULL,"","",255,"0000-00-00 00:00:00","0000-00-00 00:00:00"
14,"divorce-care","Divorce Care","",NULL,NULL,"","",255,"0000-00-00 00:00:00","0000-00-00 00:00:00"
15,"womens-bible-study","Women's Bible Study","",NULL,"f","","",255,"0000-00-00 00:00:00","0000-00-00 00:00:00"
