id,series_id,speaker_id,"ident","type","title","description",vimeo_id,vimeo_id_asl,"audio_file","sermon_date","speaker_name","publish_at","created_at","updated_at"
1,1,1,"how-often-do-you-fill-up","sermon","How Often Do You Fill Up?",NULL,NULL,NULL,"20080712-13.mp3","2008-07-13","Dr. Chris Stephens","2008-07-13 00:00:00","2008-07-13 00:00:00","2008-07-13 00:00:00"
2,1,4,"practice-the-presence","sermon","Practice the Presence",NULL,NULL,NULL,"20080719-20.mp3","2008-07-20","Michele Stephens","2008-07-20 00:00:00","2008-07-20 00:00:00","2008-07-20 00:00:00"
3,1,1,"he-can-fill-you-up","sermon","He Can Fill You Up!",NULL,NULL,NULL,"20080726-27.mp3","2008-07-27","Dr. Chris Stephens","2008-07-27 00:00:00","2008-07-27 00:00:00","2008-07-27 00:00:00"
4,1,1,"wasted-worship","sermon","Wasted Worship?",NULL,NULL,NULL,"20080802-03.mp3","2008-08-03","Dr. Chris Stephens","2008-08-03 00:00:00","2008-08-03 00:00:00","2008-08-03 00:00:00"
5,2,1,"character-counts","sermon","Character Counts",NULL,NULL,NULL,"20080816-17.mp3","2008-08-17","Dr. Chris Stephens","2008-08-17 00:00:00","2008-08-17 00:00:00","2008-08-17 00:00:00"
6,2,2,"courage","sermon","Courage",NULL,NULL,NULL,"20080823-24.mp3","2008-08-24","Dr. Josh Whitehead","2008-08-24 00:00:00","2008-08-24 00:00:00","2008-08-24 00:00:00"
7,2,1,"not-now","sermon","Not Now!",NULL,NULL,NULL,"20080830-31.mp3","2008-08-31","Dr. Chris Stephens","2008-08-31 00:00:00","2008-08-31 00:00:00","2008-08-31 00:00:00"
8,2,1,"how-to-hang-on","sermon","How to Hang On!",NULL,NULL,NULL,"20080906-07.mp3","2008-09-07","Dr. Chris Stephens","2008-09-07 00:00:00","2008-09-07 00:00:00","2008-09-07 00:00:00"
9,2,1,"can-you-see-it","sermon","Can You See It?",NULL,NULL,NULL,"20080913-14.mp3","2008-09-14","Dr. Chris Stephens","2008-09-14 00:00:00","2008-09-14 00:00:00","2008-09-14 00:00:00"
10,3,1,"faith-or-fear","sermon","Faith or Fear?",NULL,2498576,NULL,"20081004-05.mp3","2008-10-05","Dr. Chris Stephens","2008-10-05 00:00:00","2008-10-05 00:00:00","2008-10-05 00:00:00"
11,3,1,"faith-takes-the-first-step","sermon","Faith Takes the First Step",NULL,2533352,NULL,"20081011-12.mp3","2008-10-12","Dr. Chris Stephens","2008-10-12 00:00:00","2008-10-12 00:00:00","2008-10-12 00:00:00"
12,3,1,"dont-look-down","sermon","Don't Look Down!",NULL,2534195,NULL,"20081018-19.mp3","2008-10-19","Dr. Chris Stephens","2008-10-19 00:00:00","2008-10-19 00:00:00","2008-10-19 00:00:00"
13,3,1,"waiting-on-a-wave","sermon","Waiting on a Wave",NULL,2534627,NULL,"20081025-26.mp3","2008-10-26","Dr. Chris Stephens","2008-10-26 00:00:00","2008-10-26 00:00:00","2008-10-26 00:00:00"
14,12,1,"voting-values","sermon","Voting Values",NULL,2535033,NULL,"20081101-02.mp3","2008-11-01","Dr. Chris Stephens","2008-11-01 00:00:00","2008-11-01 00:00:00","2008-11-01 00:00:00"
15,4,NULL,"trailer","promo","Trailer",NULL,2743049,NULL,NULL,"2008-11-08",NULL,"2008-11-08 00:00:00","2008-11-08 00:00:00","2008-11-08 00:00:00"
16,4,1,"future","sermon","Future",NULL,2536473,NULL,"20081108-08.mp3","2008-11-09","Dr. Chris Stephens","2008-11-09 00:00:00","2008-11-09 00:00:00","2008-11-09 00:00:00"
17,4,1,"purpose","sermon","Purpose",NULL,2536994,NULL,"20081115-16.mp3","2008-11-16","Dr. Chris Stephens","2008-11-16 00:00:00","2008-11-16 00:00:00","2008-11-16 00:00:00"
18,4,1,"community","sermon","Community",NULL,2541427,NULL,"20081122-23.mp3","2008-11-23","Dr. Chris Stephens","2008-11-23 00:00:00","2008-11-23 00:00:00","2008-11-23 00:00:00"
19,12,1,"leftovers","sermon","Leftovers",NULL,2541947,NULL,"20081129-30.mp3","2008-11-30","Dr. Chris Stephens","2008-11-30 00:00:00","2008-11-30 00:00:00","2008-11-30 00:00:00"
20,12,1,"r-and-r","sermon","R & R",NULL,2728152,NULL,"20081227-28.mp3","2008-12-28","Dr. Chris Stephens","2008-12-28 00:00:00","2008-12-28 00:00:00","2008-12-28 00:00:00"
21,12,1,"pro-kids","sermon","ProKids Video",NULL,2802732,NULL,NULL,"2008-12-28","Dr. Chris Stephens","2008-12-28 00:00:00","2008-12-28 00:00:00","2008-12-28 00:00:00"
22,5,NULL,"trailer","promo","Trailer",NULL,2601901,NULL,NULL,"2009-01-04",NULL,"2009-01-04 00:00:00","2009-01-04 00:00:00","2009-01-04 00:00:00"
23,5,NULL,"dale-henry","sermon","Dale Henry",NULL,2730258,NULL,"20090103-04.mp3","2009-01-04","Dale Henry","2009-01-04 00:00:00","2009-01-04 00:00:00","2009-01-04 00:00:00"
24,5,1,"upgrade","sermon","Upgrade",NULL,2802264,NULL,"20090110-11.mp3","2009-01-10","Dr. Chris Stephens","2009-01-10 00:00:00","2009-01-10 00:00:00","2009-01-10 00:00:00"
25,5,1,"going-public","sermon","Going Public",NULL,2881775,NULL,"20090117-18.mp3","2009-01-18","Dr. Chris Stephens","2009-01-18 00:00:00","2009-01-18 00:00:00","2009-01-18 00:00:00"
26,5,3,"the-bradys-were-wrong","sermon","The Bradys Were Wrong",NULL,2966945,NULL,"20090124-25.mp3","2009-01-24","Randy Riggins","2009-01-24 00:00:00","2009-01-24 00:00:00","2009-01-24 00:00:00"
27,5,1,"community-of-change","sermon","Community of Change",NULL,3042482,NULL,"20090131-01.mp3","2009-01-31","Dr. Chris Stephens","2009-01-31 00:00:00","2009-01-31 00:00:00","2009-01-31 00:00:00"
28,5,NULL,"cardboard-testimonies","sermon","Cardboard Testimonies",NULL,3042599,NULL,NULL,"2009-01-31",NULL,"2009-01-31 19:00:00","2009-01-31 19:00:00","2009-01-31 19:00:00"
29,10,NULL,"trailer","promo","Trailer",NULL,3042110,NULL,NULL,"2009-02-01",NULL,"2009-02-01 00:00:00","2009-02-01 00:00:00","2009-02-01 00:00:00"
30,10,1,"its-all-about-heart","sermon","It's All About Heart",NULL,3124290,NULL,"20090207-08.mp3","2009-02-07","Dr. Chris Stephens","2009-02-07 00:00:00","2009-02-07 00:00:00","2009-02-07 00:00:00"
31,10,1,"ruined-by-a-relgious-rut","sermon","Ruined by a Religious Rut",NULL,3226428,NULL,"20090214-15.mp3","2009-02-14","Dr. Chris Stephens","2009-02-14 00:00:00","2009-02-14 00:00:00","2009-02-14 00:00:00"
32,10,1,"whats-narural-to-you","sermon","What's Natural to You?",NULL,3319628,NULL,"20090221-22.mp3","2009-02-22","Dr. Chris Stephens","2009-02-22 00:00:00","2009-02-22 00:00:00","2009-02-22 00:00:00"
33,13,1,"enduring-in-an-eroding-economy","sermon","Enduring in an Eroding Economy",NULL,3413814,NULL,"20090228-01.mp3","2009-02-28","Dr. Chris Stephens","2009-02-28 00:00:00","2009-02-28 00:00:00","2009-02-28 00:00:00"
34,13,NULL,"tithing-rap","sermon","The Accountants' Bad Rap",NULL,3520794,NULL,NULL,"2009-03-07",NULL,"2009-03-07 00:00:00","2009-03-07 00:00:00","2009-03-07 00:00:00"
35,13,1,"no-root-no-fruit","sermon","No Root, No Fruit",NULL,3524930,NULL,"20090307-08.mp3","2009-03-07","Dr. Chris Stephens","2009-03-07 00:00:05","2009-03-07 00:00:05","2009-03-07 00:00:05"
36,14,NULL,"trailer","promo","Trailer",NULL,3654088,NULL,NULL,"2009-03-15",NULL,"2009-03-15 00:00:00","2009-03-15 00:00:00","2009-03-15 00:00:00"
37,14,1,"a-few-good-men","sermon","A Few Good Men",NULL,3654254,NULL,"200903014-15.mp3","2009-03-15","Dr. Chris Stephens","2009-03-15 00:00:05","2009-03-15 00:00:05","2009-03-15 00:00:05"
38,14,1,"the-juror","sermon","The Juror",NULL,3795878,NULL,"200903021-22.mp3","2009-03-21","Dr. Chris Stephens","2009-03-21 00:00:00","2009-03-21 00:00:00","2009-03-21 00:00:00"
39,14,1,"twelve-angry-men","sermon","Twelve Angry Men",NULL,3900565,NULL,"20090328-29.mp3","2009-03-28","Dr. Chris Stephens","2009-03-28 00:00:00","2009-03-28 00:00:00","2009-03-28 00:00:00"
40,15,1,"diving-into-life","sermon","Diving Into Life","In the beginning, God created it.<br />  It has shaped the course of history.<br />  It's the most important thing you'll ever be a part of.  <p>Join us for <i>The Unit</i> as we discover God's plan for the family.</p>",4218694,NULL,"20090418-19.mp3","2009-04-19","Dr. Chris Stephens","2009-04-19 00:00:00","2009-04-19 00:00:00","2009-04-18 22:28:26"
